"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"1212","084850","아이티엠반도체",45350,-450,-0.98,2220,20.43,11668,3.89,0,0
"1213","027360","아주IB투자",5920,60,1.02,137,43.21,1412,4.19,35,0.59
"1214","032080","아즈텍WB",2525,120,4.99,231,10.93,4437,0.57,0,0
"1215","013310","아진산업",3750,-50,-1.32,421,8.91,5499,0.68,0,0
"1216","059120","아진엑스텍",7250,-200,-2.68,253,28.66,4198,1.73,100,1.38
"1217","158430","아톤",23650,-300,-1.25,NA,NA,10518,2.25,0,0
"1218","067160","아프리카TV",79600,2800,3.65,3164,25.16,10346,7.69,550,0.69
"1219","001540","안국약품",12800,-50,-0.39,221,57.92,11366,1.13,220,1.72
"1220","053800","안랩",62100,-1200,-1.9,2204,28.18,20539,3.02,900,1.45
"1221","065660","안트로젠",50000,-700,-1.38,NA,NA,7607,6.57,0,0
"1222","297570","알로이스",4650,390,9.15,NA,NA,953,4.88,0,0
"1223","001780","알루코",4700,10,0.21,NA,NA,2755,1.71,0,0
"1224","260660","알리코제약",11800,0,0,1007,11.72,6969,1.69,200,1.69
"1225","131370","알서포트",8310,160,1.96,166,50.06,1163,7.15,20,0.24
"1226","140670","알에스오토메이션",8610,-50,-0.58,16,538.13,4310,2,0,0
"1227","096610","알에프세미",5400,-20,-0.37,NA,NA,6140,0.88,13,0.24
"1228","061040","알에프텍",8080,-120,-1.46,NA,NA,6140,1.32,0,0
"1229","148250","알엔투테크놀로지",17400,50,0.29,135,128.89,4500,3.87,50,0.29
"1230","347860","알체라",35750,-150,-0.42,NA,NA,997,35.86,0,0
"1231","196170","알테오젠 [락]",99700,-2700,-2.64,NA,NA,1679,59.38,0,0
"1232","123750","알톤스포츠",5180,60,1.17,NA,NA,1245,4.16,0,0
"1233","085810","알티캐스트",1880,25,1.35,NA,NA,2931,0.64,0,0
"1234","117670","알파홀딩스",4530,-65,-1.41,NA,NA,3815,1.19,0,0
"1235","291650","압타머사이언스",24150,700,2.99,NA,NA,924,26.14,0,0
"1236","293780","압타바이오",59600,-100,-0.17,NA,NA,6907,8.63,0,0
"1237","018250","애경산업",24650,-150,-0.6,1581,15.59,12817,1.92,450,1.83
"1238","161000","애경유화",10900,50,0.46,966,11.28,11336,0.96,350,3.21
"1239","196300","애니젠",14950,-150,-0.99,NA,NA,2989,5,0,0
"1240","310200","애니플러스",1560,0,0,NA,NA,1881,0.83,0,0
"1241","205500","액션스퀘어",2595,-170,-6.15,NA,NA,489,5.31,0,0
"1242","052790","액토즈소프트",9070,-150,-1.63,1897,4.78,10423,0.87,0,0
"1243","131400","액트",4560,0,0,NA,NA,2215,2.06,0,0
"1244","290740","액트로",9960,-20,-0.2,1484,6.71,7578,1.31,200,2.01
"1245","238090","앤디포스",4285,-20,-0.46,NA,NA,2185,1.96,0,0
"1246","092600","앤씨앤",4850,-85,-1.72,NA,NA,2028,2.39,0,0
"1247","129890","앱코",26850,300,1.13,575,46.7,1337,20.08,0,0
"1248","174900","앱클론",31150,100,0.32,179,174.02,2337,13.33,0,0
"1249","255440","야스",13250,0,0,1256,10.55,11536,1.15,150,1.13
"1250","030960","양지사",12350,50,0.41,8787,1.41,11820,1.04,50,0.4
"1251","102120","어보브반도체",12950,150,1.17,815,15.89,5175,2.5,200,1.54
"1252","238120","얼라인드",8420,390,4.86,16,526.25,2918,2.89,0,0
"1253","019990","에너토크",8630,140,1.65,51,169.22,4106,2.1,50,0.58
"1254","011090","에넥스",2095,160,8.27,NA,NA,903,2.32,0,0
"1255","041440","에버다임",5830,140,2.46,65,89.69,10599,0.55,40,0.69
"1256","038680","에스넷",7390,140,1.93,408,18.11,4474,1.65,120,1.62
"1257","217480","에스디생명공학",4755,-70,-1.45,NA,NA,4047,1.17,0,0
"1258","121890","에스디시스템",739,0,0,NA,NA,1021,0.72,0,0
"1259","097780","에스맥",1470,0,0,NA,NA,950,1.55,0,0
"1260","042110","에스씨디",1510,-5,-0.33,NA,NA,2083,0.72,15,0.99
"1261","298060","에스씨엠생명과학",36400,250,0.69,NA,NA,1704,21.36,0,0
"1262","065420","에스아이리소스",639,0,0,NA,NA,178,3.59,0,0
"1263","103230","에스앤더블류",2505,0,0,NA,NA,5410,0.46,0,0
"1264","101490","에스앤에스텍",34600,300,0.87,528,65.53,4489,7.71,50,0.14
"1265","095910","에스에너지",5950,-50,-0.83,NA,NA,7431,0.8,50,0.84
"1266","275630","에스에스알",6170,-100,-1.59,194,31.8,4265,1.45,0,0
"1267","031330","에스에이엠티",2665,10,0.38,380,7.01,2383,1.12,140,5.25
"1268","060540","에스에이티",2470,25,1.02,355,6.96,3231,0.76,50,2.02
"1269","056190","에스에프에이",40200,50,0.12,3939,10.21,24380,1.65,1056,2.63
"1270","080000","에스엔유",3985,55,1.4,226,17.63,3362,1.19,0,0
"1271","005850","에스엘",22900,-150,-0.65,1979,11.57,28224,0.81,400,1.75
"1272","041510","에스엠",29750,100,0.34,NA,NA,18944,1.57,0,0
"1273","007820","에스엠코어",7100,-30,-0.42,229,31,3919,1.81,70,0.99
"1274","109610","에스와이",3895,-35,-0.89,NA,NA,3489,1.12,0,0
"1275","012750","에스원",81800,-500,-0.61,4337,18.86,34937,2.34,2500,3.06
"1276","306040","에스제이그룹",23850,50,0.21,1824,13.08,7047,3.38,400,1.68
