"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"2043","199820","제일전기공업","KOSDAQ","일반전기전자",21350,150,0.71,237198500000
"2044","023440","제일제강","KOSDAQ","금속",3250,-25,-0.76,104436722000
"2045","038010","제일테크노스","KOSDAQ","금속",8580,470,5.8,7.722e+10
"2046","080220","제주반도체","KOSDAQ","반도체",5450,-10,-0.18,186407630750
"2047","216080","제테마","KOSDAQ","제약",19700,-150,-0.76,346057272300
"2048","229000","젠큐릭스","KOSDAQ","제약",20500,-350,-1.68,132574279000
"2049","082270","젬백스","KOSDAQ","기계·장비",25750,-550,-2.09,1024328459500
"2050","064800","젬백스링크","KOSDAQ","유통",1535,25,1.66,120597710940
"2051","041590","젬백스지오","KOSDAQ","건설",868,2,0.23,67332309380
"2052","044060","조광ILI","KOSDAQ","기계·장비",9400,-200,-2.08,123593926000
"2053","034940","조아제약","KOSDAQ","제약",4245,0,0,131509365615
"2054","101730","조이맥스","KOSDAQ","디지털컨텐츠",4910,260,5.59,77556567850
"2055","067000","조이시티","KOSDAQ","디지털컨텐츠",9290,30,0.32,415880627070
"2056","033340","좋은사람들","KOSDAQ","섬유·의류",1055,0,0,52653176320
"2057","036930","주성엔지니어링","KOSDAQ","반도체",10950,400,3.79,528328871400
"2058","239340","줌인터넷","KOSDAQ","인터넷",5550,230,4.32,149194334100
"2059","072020","중앙백신","KOSDAQ","제약",17600,-100,-0.56,1.75296e+11
"2060","000440","중앙에너비스","KOSDAQ","유통",9260,60,0.65,57663223800
"2061","228760","지노믹트리","KOSDAQ","제약",11850,50,0.42,236836647750
"2062","314130","지놈앤컴퍼니","KOSDAQ","제약",56000,1800,3.32,745074624000
"2063","043610","지니뮤직","KOSDAQ","디지털컨텐츠",7400,-330,-4.27,430054241200
"2064","263860","지니언스","KOSDAQ","소프트웨어",7250,-70,-0.96,68473350000
"2065","303030","지니틱스","KOSDAQ","반도체",3505,-175,-4.76,124744944345
"2066","036180","지더블유바이텍","KOSDAQ","유통",1205,0,0,33647104140
"2067","208350","지란지교시큐리티","KOSDAQ","출판·매체복제",6350,250,4.1,52746535350
"2068","114570","지스마트글로벌","KOSDAQ","반도체",620,0,0,7030424280
"2069","051160","지어소프트","KOSDAQ","소프트웨어",20800,-250,-1.19,303150744000
"2070","053050","지에스이","KOSDAQ","전기·가스·수도",1645,5,0.3,49329597065
"2071","119850","지엔씨에너지","KOSDAQ","일반전기전자",5820,70,1.22,94841718960
"2072","270520","지엔원에너지","KOSDAQ","기타서비스",3600,-15,-0.41,112352068800
"2073","065060","지엔코","KOSDAQ","섬유·의류",920,20,2.22,90167400480
"2074","204840","지엘팜텍","KOSDAQ","기타서비스",1190,10,0.85,56180160610
